#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
吳子壽夢	夢<muwng>
吳壽夢	夢<muwng>
江南之夢	夢<mjuwngH,muwng>
雲夢	夢<mjuwngH,muwng>
大宮	大<thajH>
大傅	大<thajH>
大師	大<thajH>
大僕	大<thajH>
太宰子商	大<thajH>
禹孫大康	大<thajH>
太叔儀	大<thajH>
大甲	大<thajH>
大叔	大<thajH>
大行山	大<thajH>行<hang,haeng>
大上	大<thajH>
子大叔	大<thajH>
大宮	大<thajH>
大公廟	大<thajH>
元女大姬	大<thajH>
大叔文子	大<thajH>
鄭子大叔	大<thajH>
大叔文子	大<thajH>
衛大叔儀	大<thajH>
大公	大<thajH>
大誓	大<thajH>
大鹵	大<dajH>鹵<luX>
大鹵	大<thajH>鹵<luX>
大原	大<thajH>
大叔	大<thajH>
大公	大<thajH>
大姬	大<thajH>
大室	大<thajH>
子大叔	大<thajH>
太倉	大<thajH>
大廟	大<thajH>
河東大陽縣	大<thajH>
大傅陽子	大<thajH>
大師趙佗	大<thajH>佗<da>
大暭	大<thajH>冶<yaeX>
大室	大<thajH>
大廟	大<thajH>
夫鍾	夫<bju>
夫己	夫<bju>己<kiX>
夫渠	夫<bju>
曾夭	夭<’jewX>
窮奇	奇<gje>
慶奊	奊<het>
奎婁	奎<khwej>
奎星	奎<khwej>
陳孔奐	奐<xwanH>
子契	契<sjet>
伯奮	奮<pjunH>
女栗	女<nyoX,nrjoX>
女齊	女<nyoX>
女叔齊	女<nyoX>
女叔齊	女<nyoX>
妘姓	妘<hjun>
竟姒	姒<ziX>
襃姒	姒<ziX>
燕姞	姞<git,gjit>
娵訾	娵<tsju>訾<tsje>
叔孫婼	婼<trhjak>
公子媐	媐<xi,yi>
賓媚人	媚<mijH>
盧蒲嫳	嫳<phet,phet>
盧蒲嫳	嫳<phe,phet>
陳嬀	嬀<kjwe>
圭嬀	嬀<kjwe>
嬪嬙	嬙<dzjang>
穆嬴	嬴<yeng>
敬嬴	嬴<yeng>
伯嬴	嬴<yeng>
秦嬴	嬴<yeng>
嬴姓	嬴<yeng>
甯嬴	嬴<yeng>
星孛	孛<bwojH,bwojH,bwot>
孟津	孟<maengH>
孟孺子速	孺<nyuH>
孟孺子遬	孺<nyuH>
守龜	守<syuwH>
宛濮	宛’<jwon>
宛茷	宛<’jwon>茷<bjojH>
熒陽宛陵縣	宛<’jwonX,’jwon>
宛射犬	宛<’jwon>射<zyek,zyek>
宛没	宛<’jwon>
小宛	宛<’jwonX>
楚沈尹射	射<zyaeH,zyek,yaeH>
薳射	射<zyaeH,zyek>
射姑	射<yek,zyaeH>
少梁	少<syewH>
少暤	少<syewH>暤<hawX>
少西氏	少<syewH>
少宰	少<syewH>
少司徒	少<syewH>
少康	少<syewH>
少傅	少<syewH>
少正公孫僑	少<syewH>僑<gjew>
少水	少<syewH>
帝少暤	少<syewH>暤<hawX>
少姜	少<syewH>
少齊	少<syewH>
公子尨	尨<maewng>
尨降	尨<maewng>
尨圉	尨<maewng>圉<ngjoX>
潘尪	尪<’wang>
潘尪	尪<’wang>
屈蕩	屈<kjut>
屈巫	屈<kjut>
