#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
衛衎	衎<khanH>
衛侯衎	衎<kanH>
衛衎	衎<khanH>
彭衙	衙<ngae>
五父之衢	衢<gju>
趙衰	衰<tsrhjwe>
趙衰	衰<tshrjwe>
樂裔	裔<yejH>
裨竈	裨<bjie>
裨湛	裨<bjie>湛<dzyim>
裨諶	裨<bjie>諶<dzyim>
裨諶	裨<bjie>諶<dzyim>
公子裯	裯<drjuw>
著師段	褚<trjoX>段<dwanH>
褚師	褚<trjoX>
黑要	要<’jiew>
觀國	觀<kwanH>觀<kwan>
解揚	解<heaX>
晉解張	解<heaX>張<trjang,drjangH>
河東解縣	解<heaX>
解狐	解<heaX>
解揚	解<heaX>
訾婁	訾<tsje>婁<ljuH,luw>
訾枝	訾<tsje>
訾毋	訾<tsje>毋<mju>
詹嘉	詹<tsyem>
秦右大夫詹	詹<tsyem>
周任	語<ngjoH>
譙國酇縣	譙<dzjew>酇<dza,tsanH>
譙國贊縣	譙<dzjew>贊<dza,tsanH>
讒鼎之銘	讒<dzream>
南谷	谷<kuwk,yowk>
乾谿	谿<khej>
高豎	豎<dzyuX>
楊豚尹宜	豚<dwon>
揚豚尹宜	豚<dwon>
詩豳風	豳<pin>
厥貉	貉<maek>
季貍	貍<li>
貍脤	貍<li>脤<dzyinX>
貜且	貜<kjwak,kjwaek>且<tsjo>
子貝	貝<pajH>
鄭伯費	費<pijH>
費滑	費<bj+jH>滑<hweat>
費滑	費<bj+jH>滑<hweat>
宋華費遂	費<bj+jH>
賁皇	賁<bjun>
苗賁皇	賁<bjun>
伯賁	賁<bjun>
賁皇	賁<bjun>
苗賁皇	賁<bjun>
張趯	趯<thek>
張趯	趯<thek>
跗注	跗<pju>注<tsyuH>
申叔跪	跪<gjweX,kjweX>
先路	路<luH>
次路	路<luH>
桓跳	跳<dew>
蹇叔 	蹇<kjenX>
蹶父	蹶<kjwejH>
蹶由	蹶<kjwejH>
輔躒	躒<lek,lak>
秦伯車	車<kjo>
子車氏	車<kjo>
軘車	軘<dwon>
軞車	軞<maw>
河內軹縣	軹<tsyeX,tsyeX>
先輅	輅<luH>
次輅	輅<luH>
汝南平輿縣	輿<yo,yoH>
伯輿	輿<yo>
正輿子	輿<yo>
七輿	輿<yo>
展輿	輿<yo>
汝南平輿縣	輿<yo,yoH>
長轂	轂<kuwk>
轘轅	轅<hjwon>
轅濤塗	轅<hjwon>
轑陽	轑<lew>
辟司徒	辟<pek,pek,pek>
偪姞	逼<pik>姞<gjit,git>
樂遄	遄<dzywen>
過鄉	過<kwa>
甘過	過<kwa>
常壽過	過<kwa>
吳子遏	遏<’at,’jot>
遒人	遒<dzjuw,dzjuw,遒<tsjuw>
子適	適<tek>
轅選	選<sjwenX>
還無社	還<zjwen>
叔孫還	還<zjwen>
邢大夫	邢<heng>
邢丘	邢<heng>
邢公	邢<heng>
邥垂	邥<syimX>
下邳	邳<bij>
下邳縣	邳<bij>
邴歜	邴<pjaengX,pjaengH>歜<tsyhowk>
邴夏	邴<pjaengX,pjaengH>夏<haeX>
邴豫	邴<pjaengX>
公巫邵伯	邵<dzyewH>
邵南	邵<dzyewH>
邵南	邵<dzyewH>
邵公	邵<dzyewH>
邶風	邶<bwojH>
邶殿	邶<bwojH>殿<tenH,denH>
郕邽	邽<kwej>
邿亭	邿<syi>
邿山	邿<syi>
郃陽縣	郃<hop>
郇城	郇<swin>
郕大子朱儒	郕<dzyeng>儒<nyu>
郚城	郚<ngu>
城郜	郜<kawH>
郟鄏	郟<keap>鄏<nyowk>
楚郟敖	郟<keap>
郟縣	郟<keap>
郟敖	郟<keap>
郤克	郤<khjaek>
郪丘	郪<sej,tshej>
郫邵	郫<bjie>
郯伯姬	郯<dam>
郯子	郯<dam>
郰人	郰<tsrjuw>
郰邑	郰<tsrjuw>
郰叔紇	郰<tsrjuw>
來國	郲<loj>
郳國	郳<ngej>
郵棠	郵<hjuw>
鄄人	鄄<kjwienH>
鄇田	鄇<huw,huwH>
鄇人亭	鄇<huw,huwH>
鄋瞞	鄋<srjuw,saw>瞞<man>
上鄍	鄍<meng>
魯國鄒縣	鄒<tsrjuw>
鄖亭	鄖<hjun,hjunH>
鄖子	鄖<hjun>
鄖公鍾儀	鄖<hjun>
皇鄖	鄖<hjun>
鄘風	鄘<yowng>
鄘風	鄘<yowng>
鄝國	鄝<lewX>
安豐鄝縣	鄝<lewX>
鄟門	鄟<tsywen>
平鄠縣	鄠<huX>
鄢陵	鄢<’jonX>
鄢陵	鄢<’jonX,’jonH>
鄢陵	鄢<’jonX>
鄫子	鄫<dzing>
琅邪鄫縣	鄫<dzing>
鄫鼓父	鄫<dzing>
郤稱	鄫<dzing>稱<tsyhingH>
鄶城	鄶<kwajH>
鄶國	鄶<kwajH>
鄹叔紇	鄹<tsrjuw>
孫酀	酀<’enX>
酆舒	酆<phjuwng>
酆舒	酆<phjuwng>
酆宮	酆<phjuwng>
譙國酇縣	酇<dza,tsanH>
譙國酇縣	酇<dza>
重丘	重<drjowng>
重丘	重<drjowng>
晉重耳	重<drjowng>
重丘	重<drjowng>
重館	重<dzyowng>
重鄉城	重<dzyowng>
鈞臺陂	鈞<kjwin>陂<pje>
鉏麑	鉏<dzrjo>麑<me,ngej>
孔將鉏	鉏<dzrjo>
鉏任	鉏<dzrjo>任<nyim>
宋將鉏	鉏<dzrjo,dzjo>
公子鉏	鉏<dzrjo>
西鉏吾	鉏<dzrjo,dzjo>吾<ngjo>
隰鉏	鉏<dzrjo>
公孫鉏	鉏<dzrjo>
買朱鉏	鉏<dzrjo>
魏錡	錡<ngjeX>
郤錡	錡<ngjeX>
錫穴	錫<sek>
鍚穴	鍚<yang>
欒鍼	鍼<gjem>
鍼宜咎	鍼<gjem>咎<gjuwX>
秦鍼	鍼<gjem>
鍼莊子	鍼<gjem>
鍼虎	鍼<gjem>
鐸辰	鐸<dak>
鐸遏寇	鐸<dak>遏<’at,’jot>
鐸父	鐸<dak>
曹叔振鐸	鐸<dak>
鑄國	鑄<tsyuH>
庶長鮑	長<trjangX>鮑<baewX>
庶長武	長<trjangX>
秦庶長無地	長<trjangX>
長子	長<trjangX,drjang>
僖閎	閎<hweang>
僖閎	閎<hweang>
閨門	閨<kwej>
閭丘	閭<ljo>
顯閭亭	閭<ljo>
華閱	閱<ywet>
子閻	閻<yem>
閼伯	閼<’at>
虞閼父	閼<’at>
閼伯	閼<’at>
曾阜	阜<bjuwX>
高	<pjonX,baenX>
陰	<pjonX,baenX>
狼陂	陂<pje>
董池陂	陂<pje>
展陂	陂<pje>
降婁	降<haewng>
陘隰	陘<heng>隰<zip>
馬陘	陘<heng>
海陘	陘<heng,kengH>
臯陶	陶<yew>
臯陶	陶<yew>
季隗	隗<ngwojX>
隤敳	隤<dwoj>敳<ngoj,ngwoj>
桑隧	隧<zwijH>
麻隧	隧<zwijH>
暴隧	隧<zwijH>
隧正	隧<zwijH>
大隧	隧<zwijH>
桑隧	隧<zwijH>
隰叔	隰<zip>
垂隴	隴<ljowngX>
垂隴	隴<ljowngX>
士雃	雃<khen>
衡雍	雍<’jowngH>
雍門之萩	雍<’jowngH>萩<tshjuw>
雍門之秋	雍<’jowngH>秋<tshjuw>
雍梁	雍<’jowngH>
雍氏城	雍<’jowngH>
雍榆	雍<’jowngH>
雒戎	雒<lak>
劉難	難<na,nan>
孟孫難	難<nanH>
雩婁縣	雩<hju,xju,xju,’u>婁<luw,lju>
雩婁	雩<hju,xju,xju>婁<luw,lju,luw>
鄭行人良霄	霄<sjew>
靡笄	靡<mjeX,ma>笄<kej>
范鞅	鞅<’jangX>
士鞅	鞅<’jangX>
晉鞏朔	鞏<kjowngX>
鞏朔	鞏<kjowngX>
鞏成	鞏<kjowngX>
河南鞏縣	鞏<kjowngX>
鞠居	鞠<kjuwk>
狐鞠居	鞠<kjuwk>
鞫居	鞫<kjuwk>
銅鞮	鞮<tej>
銅鞮之宮	鞮<tej>
銅鞮伯華	鞮<tej>
韶夏	韶<dzyew>夏<haeX>
韶濩	韶<dzyew>濩<huH,hwak>
頃王	頃<khjwieng>
齊頃公	頃<khjwieng>
頃公	頃<khjwieng>
單頃公	頃<khjwieng>
魏頡	頡<het>
鄭皇頡	頡<het>
馬師頡	頡<het>
魏顆	顆<khwaX>
史顆	顆<khwaX>
顓頊	顓<tsywen>頊<xjowk>
顓臾	顓<tsywen>臾<yu>
顓頊	顓<tsywen>頊<xjowk>
食我	食<ziH>
饕餮	饕<thaw>餮<thet>
饕餮	饕<thaw>餮<thet>
公子馮	馮<bing>
榮鴐駕	駕<kae>鵞<nga>
狐駘	駘<doj,thoj>
臺駘	駘<thoj>
王子伯駢	駢<ben,beng>
子駢	駢<ben,beng>
臾駢	駢<ben>
子駹	駹<maewng>
荀騅	騅<tsywij>
公子騑	騑<phj+j>
六騶	騶<tsrjuw>
騶豐點	騶<tsrjuw>點<temX,tsyem>
驩兜	驩<xwan>兜<tuw>
驩兠	驩<xwan>兠<tuw>
晉侯驩	驩<xwan>
申驪	驪<lje>
驪姬	驪<lje>
張骼	骼<kaek,kak>
張骼	骼<kaek,kak>
髡屯	髡<khwon>屯<dwon>
髡頑	髡<khwon>頑<ngwaen>
髡頑	髡<khwon>
熊髡	髡<khwon>
有鬲氏	鬲<keak>
平原鬲縣	鬲<keak>
鬷聲姬	鬷<tsuwng>
鬷蔑	鬷<tsuwng>
魁門	魁<khwoj>
士魴	魴<bjang>
宋公子鮑	鮑<baewX>
宋公鮑	鮑<baewX>
樂王鮒	鮒<bjuH>
晉樂王鮒	鮒<bjuH>
汝南鮦縣	鮦<drjuwX,drjuwX,duwng>
子鮮	鮮<sjen>
申鮮虞	鮮<sjen>
伯鯈	鯈<drjuw>
鄭公子鰌	鰌<tshjuw>
史鰌	鰌<tshjuw>
鱄	鱄<dzywenX,tsywen>
榮鴐鵞	鵞<kae>鵞<nga>
鶉之賁賁	鶉<dzywin>
宋麇子	麇<kwin>
城麇	麇<kwin>
熊麇	麇<kwin>
楚子麇	麇<kwin>
麇	麇<kwin>
野有死麏	麏<kwin>
野有死麕	麕<kwin>
麗姬	麗<lje>
麗姬	麗<lje>
侯麗	麗<lje>
魚麗	麗<lje>
申麗	麗<lje>
黎氏	黎<lej>
黎侯國	黎<lej>
黎	黎<lej>
城陽黔陬縣	黔<gjem,gim,kjemX>陬<tsrjuw,tsuw,陬<tsju>
黔陬	黔<gjem,gim>陬<tsuw,tsrjuw>
黨叔	黨<tsyangX>
欒黶	黶<’eamX,’emX>
欒黶	黶<’eamX>
欒黶	黶<’eamX>
齊姜	齊<dzej>
齊歸	齊<dzej>
公子齮	齮<ngjeX>
㔻鄭	㔻<phij>
䢵子	䢵<hjun>
孟𡦗子速	𡦗<nyuH>
孟𡦗子遬	𡦗<nyuH>
向𢄔	𢄔<tajH>
公子𣢾時	𣢾<xj+n>
石𤟭	𤟭<trhjak>
𨜛瞞	𨜛<srjuw,saw>瞞<man>
鄋瞞	鄋<srjuw,saw>瞞<man>
叔孫婼	婼<trhjak,syek>
叔孫諾	諾<trhjak,syek>
虢	虢<kwaek>
公孫皙	皙<sek,sek>
濡上	濡<sju,nyu,nyuwH,nyu>
河間鄚縣	鄚<mak>
河間莫縣	莫<mak>
芋尹無宇	芋<hjuH>
僕區	區<’uw,khju>
共王	共<kjowng>
郟敖	郟<keap>
仲孫貜	貜<kjwak,kjwaek>
降婁	降<haewng>
桃虛	虛<khjo>
大屈	屈<kjut>
黃能	能<nong,noj>
黃熊	熊<hjuwng>
公孫鉏	鉏<dzrjo>
馬師頡	頡<het>
罕魋	魋<dwoj>
公孫泄	泄<sjet>
公孫洩	洩<sjet>
單獻公	單<dzyenX>
單靖公	單<dzyenX>
頃公	頃<khjwieng>
婤姶	婤<tsyuw,drjuw,trhjuw>姶<’op>
孟縶	縶<trip>
烝鉏	烝<tsying>
史朝	朝<trjew>
屯	屯<trwin>
比	比<bjijH>
元亨	亨<xaeng>
陳公子招	招<dzyew>
陳侯溺	溺<nek>
陳行人干徵師	干<kan>
紅亭	紅<huwng>
沛國蕭縣	沛<pajH>
公子過	過<kwa>
陳孔奐	奐<xwanH>
𰲝祁之宮	𰲝<sje>祁<gjij,dzyij>
虒祁之宮	虒<sje>祁<gjij,dzyij>
汾水	汾<bjun>
公子勝	勝<syingH,sying>
頃公	頃<khjwieng>
城麇	麇<kwin>
成麇	麇<kwin>
皇頡	頡<het>
顓頊	顓<tsywen>頊<xjowk>
鶉火	鶉<dzywin>
析木之津	析<sek>
瞽瞍	瞽<kuX>瞍<suwX>
穿封戌	穿<tsyhwen>戌<swit>
仲孫貜	貜<kjwak,kjwaek>
郎囿	囿<hjuwH,hjuwk>
趙黶	黶<’eamX>
濮水	濮<puwk>
晉閻嘉	閻<yem>
晉閻縣	閻<yem>
張趯	趯<thek>
詹桓伯	詹<tsyem>
漦城	漦<thoj,loj,li>
釐城	釐<thoj,loj,li>
蒲姑城	蒲<bu,bak>
商奄	奄<’jemX>
樂安	樂<lak>
檮杌	檮<daw>杌<ngwot>
瓜州	瓜<kwae>
敦煌	敦<twon>煌<hwang>
賓滑	滑<hweat,hweat>
知氏	知<trjeH>
知文子	知<trjeH>
荀躒	躒<lek,lak>
荀櫟	櫟<lek,lak>
戲陽城	戲<xje>
屠蒯	屠<du>蒯<khweajH>
杜蕢	杜<du>蕢<khweajH>
晉侯彪	彪<pjiw>
宋公成	成<dzyeng>
宋公戌	戌<swit>
婺女	婺<mjuH>
鄭裨竈	裨<bjie>
顓頊之虛	虛<khjo>
玄枵	枵<xjew>
任氏	任<nyim>
齊太公 	大<thajH>
靈姑銔	銔<bij,phij>
郠	郠<kaengX>
亳社	亳<bak>
楚子虔	虔<gjen>
蔡侯般	般<paen>
比蒲	比<bjij,bjij>
祲祥	祲<tsimH,tshim>
北宮他	他<da>
北宮佗	佗<da>
厥憖	憖<nginH,ngin,ngaet>
齊歸	齊<dzej>
萇弘	萇<drjang>
有緍	緍<min>
薳氏	薳<hjweX>
蔿氏	蔿<hjweX>
狐父	狐<hu>
岡山	岡<kang>
蔡侯廬	廬<lu>
不羹城	羹<lang>
不羹亭	羹<lang>
不更城	更<lang>
不更亭	更<lang>
櫟大夫檀伯	櫟<lek>檀<dan>
曼伯	曼<mjonH>
高傒	傒<hej>
成熊	熊<hjuwng>
公子憖	憖<nginH>
公子整	整<tsyengX>
澠水	澠<zying>
時水	時<dzyi>
溡水	溡<dzyi>
公孫傁	傁<suwX,srjuw>
樂平沾縣	沾<trjem,temH,them>
肥子緜皋	皋<kaw>
肥累城	累<ljweX,?>
周原伯絞	絞<kaewX>
公子跪尋	跪<gjweX,kjweX>
南蒯	蒯<khweajH>
費邑	費<pijH>
潘子	潘<phan>
司馬裻	裻<towk>
司馬督	督<towk>
囂尹午	囂<ngaw,xjew>
復陶	復<bjuwk,pjuwk>
析父	析<sek>
熊繹	繹<yek>
呂級	級<kip>
呂伋	伋<kip>
燮父	燮<sep>父<pjuX>
禽父	父<pjuX>
新城沶鄉縣	沶<zyijX,zyijH>
不羹	羹<lang>
左史倚相	倚<’jeX,gjeX>相<sjangH>
三墳	墳<bjun>
八索	索<sraek>
八素	素<sraek>
祭公謀父	祭<tsreajH>
祈招	招<dzyew,tsyew>
祈父	父<pjuX>
祇宮	祗<tsyij,gjie>
乾谿	谿<khej>
平丘長垣縣	垣<hjwon>
蔡侯廬	廬<lu,ljo>
冶區夫	冶<yaeX>區<’uw,khju>
薳掩	薳<hjweX>掩<’jemX>
薳居	薳<hjweX>
蔡洧	洧<hwijX>
中犨	犨<tsyhuw>
中犫	犫<tsyhuw>
蔓成然	蔓<mjonH>
常壽過	過<kwa>
觀從	從<dzjowng>
朝吳	朝<trjew>
子皙	皙<sek>
公子黑肱	肱<kwong>
不羹	羹<lang>
史猈	猈<bea,beaX,bjie,bjiem>
公子罷敵	罷<bje,pjeX,beaX>
魚陂	陂<pje>
甘魚陂	陂<pje>
訾梁	訾<tsje>
芋尹無宇	芋<hjuH,hjuX>
芋尹申亥氏	芋<hjuH,hjuX>
熊居	熊<hjuwng>
子旗	旗<gi>
櫟	櫟<lek>
共王	共<kjowng>
巴姬	巴<pae>
大室	大<thajH>
羋姓	羋<mjieX>
趙衰	衰<tsrhjwe>
顛頡	頡<het>
賈佗	佗<da>
欒支	欒<lwan>.
郤縠	郤<khjaek>縠<huwk>
共	共<kjowng>
虒祁	虒<sje>
郠	郠<kaengX>
下邳	邳<bij>
羊舌鮒	鮒<bjuH>
叔鮒	鮒<bjuH>
屠伯	屠<du>
鄫	鄫<dzing>
司鐸射	鐸<dak>射<zyek,zyaeH>
子服湫	湫<tsjewX,tsjew,tsjewX>
子服椒	椒<tsjewX,tsjew,tsjewX>
莒子去疾	去<khjoX>
意恢	恢<khwoj>
司鐸老祁	祁<gjij,???>
子韓皙	皙<sek>
屈罷	罷<bje>
召陵	召<dzyewH>
莒著丘公	著<drjo,drjoH>
庚與	與<yo>
莒共公	共<kjowng>
公子鐸	鐸<dak>
鄖公辛	鄖<hjun>
公子鉏	鉏<dzrjo>
鄐	鄐<xjuwk,trhjuwk>
皋陶	陶<yew>
楚費無極	費<bj+jH>
晉荀櫟	櫟<lek>
晉荀躒	躒<lek>
姞姓	姞<gjit,git>
闕鞏國	鞏<kjowngX>
孫伯黶	黶<’eamX>
鼓聚	聚<dzjuH>
鼓子鳶鞮	䳒<ywen>鞮<tej>
參虛	參<srim>
東夏	夏<haeX>
下邳取慮縣	邳<bij>取<tshjuw,tsju>慮<ljo,ljo>
蒲隧	隧<zwijH>
蒲如陂	陂<pje>
郯人	郯<dam>
甲父之鼎	父<pjuX>
甲父亭	父<pjuX>
印段	印<’jinH>
印癸	印<’jinH>
子齹	齹<dza,dzaX,dzrje>
野有蔓草	蔓<mjonH>
褰裳	褰<khjen>
蘀兮	蘀<thak>
屠擊	屠<du>
豎柎	柎<bjuH,pju>
陸渾之戎	渾<hwon>
長岸	岸<nganH>
菁菁者莪	菁<tseng>莪<nga>
少暤氏	少<syewH>暤<hawX>
己姓	己<kiX>
巳姓	巳<ziX>
共工氏	共<kjowng>
縉雲氏	縉<tsinH>
大暤	大<thajH>
鶬鷃	鶬<tshang>鴳<’aenH>
鷩雉	鷩<pjiet>
隹鳩	隹<tsywij>
䳡鳩	䳡<tsywij>
鷦鳩	鷦<tsjew,tsjew>
鴡鳩氏	鴡<tshjo>
雎鳩氏	雎<tshjo>
鴶鵴	鴶<keat,kjit>鵴<kjuwk>
秸鞠	秸<keat,kjit>鞠<kjuwk>
爽鳩氏	爽<srjangX>
鶻鵰	鵰<traew,trjuw,tew>
鷷雉	鷷<dzwon,tswin>
蹲雉	蹲<dzwon,tswin>
鶅雉	鶅<tsri>
翟雉	翟<dek,draewk>
鵗雉	鵗<xj+j,trijX>
希雉	希<xj+j,trijX>
翬雉	翬<xjw+j>
九扈	扈<huX>
鳻鶞	鳻<bjun,paen>鶞<trhwin>
唶唶	唶<tsraek,tsjaeH,dzraek>
嘖嘖	嘖<tsreak,dzreak>
顓頊氏	顓<tsywen>頊<xjowk>
屠蒯	蒯<khweajH>
雒水	雒<lak>
濮陽縣	濮<puwk>
裨竈	裨<bjie>
陽匃	匃<kajH>
陽匄	匄<kajH>
公子魴	魴<bjang>
闔廬	闔<hap>廬<ljo>
鄅國	鄅<hjuX,kjuX>
琅邪開陽縣	琅<lang>
郎邪開陽縣	郎<lang>
毛伯過	過<kwa>
萇弘	萇<drjang>
夏伯	夏<haeX>
里析	析<sek>
玄冥	冥<meng>
妘姓	妘<hjun>
郹陽	郹<kwek>
伍員	員<hjun>
少師	少<syewH>
楚夫人嬴氏	嬴<yeng>
宋向戌	向<syangH>戌<swit>
向寧	向<syangH>
郳人	郳<ngej>
諸夏	夏<haeX>
襄城城父縣	父<pjuX>
紀鄣	鄣<tsyang>
東海贛榆縣	贛<kuwngH,kjemX>榆<yu>
莒共公	共<kjowng>
沈尹戌	戌<swit>
葉公諸梁父	葉<syep>
子旗	旗<gi>
洧水	洧<hwijX>
蹶由	蹶<kjwejH>
鄸	鄸<muwng,mong,muwngH,muwng>
縶	縶<trip>
宋華亥	華<hwaeH>
華定	華<hwaeH>
蔡侯盧	盧<lu>
蔡侯廬	廬<ljo>
成父司馬奮揚	奮<pjunH>
吳子僚	僚<lew>
鱄設諸	鱄<tsywen>
鱄諸	鱄<tsywen>
專諸	專<tsywen>
剸諸	剸<tsywen>
公子御戎	御<ngjoX,ngjoH>
公孫援	援<hjwenH>
大子欒	欒<lwan>
無戚	戚<tshek>
無慼	慼<tshek>
祝鼃	鼃<’wae>
華齊	華<hwaeH>
華寅	華<hwaeH>
鴻駠魋	駠<ljuw>魋<dwoj>
鴻駵魋	駵<ljuw>魋<dwoj>
鴻𦕼魋	𦕼<ljuw>魋<dwoj>
菀何忌	苑<’jwon>
菀何忌	菀<’jwon>
郳甲	郳<ngej>
鬼閻	閻<zjem,yemX>
閻亭	閻<zjem,yemX>
史嚚	嚚<ngin>
屈建	屈<kjut>
豳風	豳<pin>
褚師圃	褚<trjoX>圃<puX>
公子朝	朝<trjew>
慶比	比<pjijX,bjijH>析<sek>
析朱鉏	析<sek>鉏<dzrjo>
青頃公	鉏<dzrjo>
琴牢	頃<khjwieng>
華費遂	費<bj+jH>
少司寇牼	少<syewH>牼<kheang>
華牼	牼<kheang>
裔欵	裔<yejH>
舟鮫	鮫<kaew>
遄臺	遄<dzywen>
大蔟	大<thajH>蔟<tshuwH>
蕤賓	蕤<nywij>
無射	射<yek>
季萴	萴<dzrik>
虞夏	夏<haeX>
大公	大<thajH>
萑苻	雈<hwan>符<bu,bju>
晉頃公	頃<khjwieng>
無射	射<yek>
華貙	貙<trhju>
張匃	匃<kajH>
張丐	丐<kajH>
張匄	匄<kajH>
廚人濮	廚<drju>濮<puwk>
宋廚邑	廚<drju>
赭丘	赭<tsyaeX>
赭㐀	赭<tsyaeX>
干犫	犫<tsyhuw>
楚薳越	薳<hjweX>
泠州鳩	泠<leng>
伶州鳩	伶<leng>
費	費<pijH>
少司馬	少<syewH>
臼任	任<nyim>
鄭翩	翩<phjien>
豐愆	愆<khjen>
梁國睢陽縣	睢<swij>
公子苦雂	雂<kom>
偃州員	員<hjun,hjwen>
翟僂	僂<ljuX>
華妵	妵<thuwX>
曹翰胡	翰<han,hanH>
中行穆子	行<hang>
莊堇	堇<kj+nX>
莊堇父	堇<kj+nX>
睢上	睢<swij>
叔鞅	鞅<’jangX>
單子	單<dzyenX>
河南鞏縣	鞏<kjowngX>
郟鄏	郟<keap>鄏<nyowk>
苑羊牧之	苑<’jwon>牧<mjuwk>
樂祁犂	犁<lij,lej>
王子朝	朝<trjew,trjew,drjew>
伯蚠	蚠<bjunX,bjun>
劉蚠	蚠<bjunX,bjun>
榮錡氏	錡<ngjeX>
榮錡澗	錡<ngjeX>澗<kaenH>
樊頃子	頃<khjwieng>
鄩肸	鄩<zim>肸<xit>
荀躒	躒<lek>
王子匃	匃<kajH>
王子匄	匄<kajH>
省臧	省<sjengX,srjaengX>臧<tsang>
邊卬	卬<ngang>
邊卭	卭<ngang>
仲幾	幾<kj+j>
樂輓	輓<mjonX>
劉摯	摯<tsyijH>
鼓子鳶鞮	鳶<ywen>鞮<tej>
涉佗	佗<da>
召莊公	召<dzyewH>
召伯奐	召<dzyewH>奐<xwanH>
單旗	旗<gi>
平畤	畤<tsyiX,dzyiX>
鬷	鬷<tsuwng>
稠	稠<drjuw>
鞏簡公	鞏<kjowngX>
圃車	圃<puX>
東圉	圉<ngjoX>
圉鄉	圉<ngjoX>
社	社<dzyaeX>
杜	杜<dzyaeX>
司馬督	督<towk>
任人	任<nyim>
右行詭	行<hang>詭<kjweX>
叔孫婼	婼<trhjak>
莒子庚輿	輿<yo>
雞父	父<pjuX>
胡子髡	髡<khwon>
沈子逞	逞<trhjengX>
陳夏齧	夏<haeX>齧<nget>
大倉	大<thajH>
鄩中 	鄩<zim>
公孫鉏	鉏<dzrjo>
徐鉏	鉏<dzrjo>
茅地	茅<maew>
士彌牟	彌<mjie>牟<muw>
著丘公	著<drjo,drjoH>
郹陽	郹<kwek>
郢城	郢<yengX,yengH>
尹圉	圉<ngjoX>
劉佗	佗<da>
道	<pjonX,baenX>
西闈	闈<hjw+j,xjw+j>
蒯鄉	蒯<khweajH>
薳澨	澨<dzyejH>
楚囊瓦	囊<nang>
子囊	囊<nang>
蚠冒	蚠<bjunX>冒<mawH>
蚡冒	蚡<bjunX>冒<mawH>
仲孫貜	貜<kjwak,kjwaek>
杞伯郁斄	郁<’juwk>斄<li,loj>
杞伯郁釐	郁<’juwk>釐<li,loj>
南宮嚚	嚚<ngin>
紂	紂<drjuwX>
鄔聚	鄔<’uX>聚<dzjuH>
緱氏	緱<kuw,khuw>
梁其踁	踁<hengH>
乾祭	乾<kan>祭<tsreajH>
黃父	父<pjuX>
東訾	訾<tsje>
訾城	訾<tsje>
越大夫胥犴	犴<nganH>
壽夢	夢<muwng>
圉陽	圉<ngjoX>
叔詣	詣<ngejH>
六畜	畜<xjuwH,trhjuwk>
稠父	稠<drjuw>父<pjuX>
宋父	父<pjuX>
季姒	姒<ziX>
饔人檀	檀<dan,dzyenH>
郈昭伯	郈<huwX,huwH>
公賁	賁<pwon,bjun,pjeH>
沂水	沂<ngj+j>
州屈	屈<kjut,gjut>
卷城	卷<gjwen,kjwenX>
車轄	轄<haet>
車舝	舝<haet>
師己	己<kiX>
師巳	巳<ziX>
申射姑	射<yaeH,yek>
申夜姑	夜<yaeH,yek>
秦遄	遄<dzywen>
侍人僚柤	柤<tsrae>
寺人僚柤	柤<tsrae>
鬷戾	鬷<tsuwng>戾<lejH>
僂句	僂<ljuX,ljuH>句<kjuH>
郈魴假	魴<bjang>
賈正	賈<kaeH>
茄人	茄<kae>
熊相禖	相<sjangH>禖<mwoj>
鄟陵	鄟<tsywen,dzywenX,dwan>
女賈	女<nyoX>
高齮	齮<ngjeX>
公子鉏	鉏<dzrjo>
公孫朝	朝<trjew>
淄水	淄<tsri>
炊鼻	炊<tsyhwe>
泄聲子	泄<sjet>
洩聲子	洩<sjet>
苑何忌	苑<’jwonX>
苑子	苑<’jwonX>
褚氏亭	褚<trjoX,trhjoX>
晉知躒	知<trjeH>躒<lek>
雚谷	雚<hwan,kwanH>
萑谷	萑<hwan,kwanH>
女寬	女<nyoX>
汝寬	汝<nyoX>
闕塞	塞<sojH>
圉澤	圉<ngjoX>
隄上	隄<tej,dej>
成公般	般<paen>
攜王	攜<hwej>
郟鄏	郟<keap>鄏<nyowk>
子頹	頹<dwoj>
夏后	夏<haeX>
鄆	鄆<hjunH>
僚	僚<lew>
郤宛	郤<khjaek>宛<’jwonX,’jwon>
宋樂祁犂	犁<lej,lij>
扈	扈<huX>
曹伯午	午<nguX>
邾快	快<khwaejH>
公子掩餘	掩<’jemX>
楚莠尹然	莠<yuwX>
工尹麇	麇<kwin>
左司馬沈尹戌	戌<swit>
鱄設諸	鱄<tsywen>
闔廬	闔<hap>
鄢將師	鄢<’jonX>
鄔將師	鄔<’uX>
費無極	費<bj+jH>
陽匃	匃<kajH>
陽匄	匄<kajH>
且知	且<tsjo>
中廏尹	廏<kjuwH>
朝吳	朝<trjew>
重	重<drjowngX,drjowng>
魯公子憖	憖<nginH>
魏郡斥丘縣	斥<tsyhek,tsyhaeH>
祁勝	祁<gjij,dzyij>
祁盈	祁<gjij,dzyij>
祁午	祁<gjij,dzyij>
鄔臧	鄔<’jonX,’joH,’jo,’joH,’joH,’joH,’joH>
鄢臧	鄢<’jonX,’joH,’jo,’joH,’joH,’joH,’joH>
鄔留	鄔<’uX>
鄢陵	鄢<’jonX>
鄔縣	鄔<’joH,’jo,’joH,’joH,’joH,’joH>
