#《歸去來兮》中古音及中州音
#version: 20200414
#author: hhliow (github.com/hhliow)
#license: cc by-nc-sa 4.0
	mandarin洪武正韻音	middle_chinese
未	vi˨˦	miuiʱ
遠。	jyuɛn˥˧	ɦwiɐ̋n
覺	kiɒʔ(k)	kɣɔk
今	kim	kim
是	ʃʱi˨˦	dʑie̋
而	ɻ˩	nʑɨ
昨	dzɒʔ(k)˩	dzɑk
非。	fi	piui
舟	tʃiəw	tɕiu
遙	jiɛw˩	jiew
遙	jiɛw˩	jiew
以	ji˥˧	jɨ̋
輕	kʰiŋ	kʰieŋ
颺。	jiɑŋ˨˦	jiɑŋʱ
風	fuŋ	piuŋ
飄	pʰiɛw	pʰjiew
飄	pʰiɛw	pʰjiew
而	ɻ˩	nʑɨ
吹	tʃʰui	tɕʰwie
衣。	ʔi	ʔiɨi
問	vun˨˦	miunʱ
征	tʃiŋ	tɕieŋ
夫	fu	pwio
以	ji˥˧	jɨ̋
前	tsʱiɛn˩	dzen
路。	lu˨˦	loʱ
恨	ɦən˨˦	ɦənʱ
晨	ʃʱin˩	dʑin
光	kwɑŋ	kwɑŋ
之	tʃɨ	tɕɨ
熹	hi	hɨ
微。	vi˩	miui
乃	nai˥˧	nə̋i
瞻	tʃiɛm	tɕiem
衡	ɦ(i)əŋ˩	ɦɣaŋ
宇。	jy˥˧	ɦwiő
載	tsai˨˦	tsəiʱ
欣	hin	hiɨn
載	tsai˨˦	tsəiʱ
奔。	pun	pwon
僮	tʱuŋ˩	duŋ
僕	buʔ(k)˩	bowk
歡	hwɔn	hwɑn
迎。	(ŋ)jiŋ˨˦	ŋiaŋʱ
稚	dʒi˨˦	ɖiʱ
子	tsɨ˥˧	tsɨ̋
候	ɦəw˨˦	ɦəuʱ
門。	mun˩	mwon
三	sam	sɑm
徑	kiŋ˨˦	keŋʱ
就	dziəw˨˦	dziuʱ
荒。	hwɑŋ	hwɑŋ
松	syuŋ	ziowŋ
菊	kyuʔ(k)	kiuk
猶	jiəw˩	jiu
存。	tsʱun˩	dzwon
攜	ɦiɪi˩	ɦwe
幼	ʔiəw˨˦	ʔiwʱ
入	ʒiʔ(p)˩	nʑip
室。	ʃiʔ(t)	ɕit
有	jiəw˥˧	ɦiű
酒	tsiəw˥˧	tsiű
盈	jiŋ˩	jieŋ
樽。	tsun	tswon
引	jin˥˧	ji̋n
壺	ɦu˩	ɦo
觴	ʃiɑŋ	ɕiɑŋ
以	ji˥˧	jɨ̋
自	dzɨ˨˦	dziʱ
酌。	tʃiɒʔ(k)	tɕiɑk
眄	miɛn˥˧	me̋n
庭	tʱiŋ˩	deŋ
柯	kɔ	kɑ
以	ji˥˧	jɨ̋
怡	ji˩	jɨ
顏。	(ŋ)jian˩	ŋɣan
倚	ʔi˥˧	ʔie̋
南	nam˩	nəm
窗	tʂʰwɑŋ	tʂʰɣɔŋ
以	ji˥˧	jɨ̋
寄	ki˨˦	kieʱ
傲。	ŋaw˨˦	ŋɑwʱ
審	ʃim˥˧	ɕi̋m
容	jyuŋ˩	jiowŋ
膝	siʔ(t)	sit
之	tʃɨ	tɕɨ
易	ji˨˦	jieʱ
安。	ʔɑn	ʔɑn
園	jyuɛn˩	ɦwiɐn
日	ʒiʔ(t)˩	nʑit
涉	ʃ(ʱ)iɛʔ(p)	dʑiep
以	ji˥˧	jɨ̋
成	tʃʱiŋ˩	dʑieŋ
趣。	tsʰy˨˦	tsʰwioʱ
門	mun˩	mwon
雖	sui	swi
設	ʃiɛʔ(t)	ɕiet
而	ɻ˩	nʑɨ
常	(t)ʃʱiɑŋ˩	dʑiɑŋ
關。	kwan	kɣwan
策	tʂʰəʔ(k)	tʂʰɣɛk
扶	fʱu˩	bwio
老	law˥˧	lɑ̋w
以	ji˥˧	jɨ̋
流	liəw˩	liu
憩。	kʰiɪi˨˦	kʰieiʱ
時	ʃʱɨ˩	dʑɨ
矯	kiɛw˥˧	kie̋w
首	ʃiəw˥˧	ɕiű
而	ɻ˩	nʑɨ
遐	ɦia˩	ɦɣa
觀。	kwɔn	kwɑn
雲	jyun˩	ɦiun
無	vu˩	mwio
心	sim	sim
以	ji˥˧	jɨ̋
出	tʃʰyʔ(t)	tɕʰwit
岫。	sʱiəw˨˦	ziuʱ
鳥	niɛw˥˧	te̋w
倦	gyuɛn˨˦	ɡwienʱ
飛	fi	piui
而	ɻ˩	nʑɨ
知	tʃi	ʈie
還。	ɦwan˩	ɦɣwan
景	ʔiŋ˥˧	kia̋ŋ
翳	ʔi˨˦	ʔeʱ
翳	ʔi˨˦	ʔeʱ
以	ji˥˧	jɨ̋
將	tsiɑŋ	tsiɑŋ
入。	ʒiʔ(p)˩	nʑip
撫	fu˥˧	pʰwiő
孤	ku	ko
松	syuŋ	ziowŋ
而	ɻ˩	nʑɨ
盤	pʱwɔn˩	bwɑn
桓。	ɦwɔn˩	ɦwɑn
歸	kui	kiui
去	kʰy˨˦	kʰiɤʱ
來	lai˩	ləi
兮。	ɦiɪi˩	ɦe
請	tsʰiŋ˥˧	tsʰie̋ŋ
息	siʔ(k)	sɨk
交	kiaw	kɣaw
以	ji˥˧	jɨ̋
絕	dzyuɛʔ(t)	dzwiet
遊。	jiəw˩	jiu
世	ʃiɪi˨˦	ɕieiʱ
與	jy˥˧	jiɤ̋
我	ŋɔ˥˧	ŋɑ̋
而	ɻ˩	nʑɨ
相	siɑŋ	siɑŋ
違。	ui˩	ɦiui
復	fʱəw˨˦	biuʱ
駕	kia˨˦	kɣaʱ
言	jiɛn˩	ŋiɐn
兮	ɦiɪi˩	ɦe
焉	ʔiɛn	ʔien
求。	kʱiəw˩	ɡiu
悅	jyuɛʔ(t)˩	jwiet
親	tsʰin	tsʰin
戚	tsʰiʔ(k)	tsʰek
之	tʃɨ	tɕɨ
情	tsʱiŋ˩	dzieŋ
話。	ɦwa˨˦	ɦɣwaiʱ
樂	lɒʔ(k)˩	lɑk
琴	kʱim˩	ɡim
書	ʃy	ɕiɤ
以	ji˥˧	jɨ̋
消	siɛw	siew
憂。	ʔiəw	ʔiu
農	nuŋ˩	nowŋ
人	ʒin˩	nʑin
告	kaw˨˦	kɑwʱ
余	jy˩	jiɤ
以	ji˥˧	jɨ̋
春	tʃʰyun	tɕʰwin
及。	giʔ(p)˩	ɡip
將	tsiɑŋ	tsiɑŋ
有	jiəw˥˧	ɦiű
事	ʂʱɨ˨˦	ɖʐɨʱ
于	jy˩	ɦwio
西	siɪi	se
疇。	tʃʱiəw˩	ɖiu
或	ɦwəʔ(k)˩	ɦwək
命	miŋ˨˦	miaŋʱ
巾	kin	kin
車。	tʃʰiɛ	tɕʰia
或	ɦwəʔ(k)˩	ɦwək
棹	ɖʐaw˨˦	ɖɣawʱ
孤	ku	ko
舟。	tʃiəw	tɕiu
既	ki˨˦	kiɨiʱ
窈	ʔiɛw˥˧	ʔe̋w
窕	diɛw˨˦	de̋w
以	ji˥˧	jɨ̋
尋	sʱim˩	zim
壑。	hɒʔ(k)	hɑk
亦	jiʔ(k)˩	jiek
崎	kʰiɪi	kʰie
嶇	kʰy	kʰwio
而	ɻ˩	nʑɨ
經	kiŋ	keŋ
丘。	kʰiəw	kʰiu
木	muʔ(k)˩	muk
欣	hin	hiɨn
欣	hin	hiɨn
以	ji˥˧	jɨ̋
向	hiɑŋ˨˦	hiɑŋʱ
榮。	jyuəŋ˩	ɦwiaŋ
泉	tsʱyuɛn˩	dzwien
涓	kyuɛn	kwen
涓	kyuɛn	kwen
而	ɻ˩	nʑɨ
始	ʃɨ˥˧	ɕɨ̋
流。	liəw˩	liu
善	ʃʱiɛn˨˦	dʑie̋n
萬	van˨˦	mwiɐnʱ
物	vuʔ(t)˩	miut
之	tʃɨ	tɕɨ
得	təʔ(k)	tək
時。	ʃʱɨ˩	dʑɨ
感	kam˥˧	kə̋m
吾	ŋu˩	ŋo
生	ʂəŋ	ʂɣaŋ
之	tʃɨ	tɕɨ
行	ɦ(i)əŋ˩	ɦɣaŋ
休。	hiəw	hiu
已	ji˥˧	jɨ̋
矣	ji˥˧	ɦɨ̋
乎。	ɦu˩	ɦo
寓	(ŋ)jy˨˦	ŋwioʱ
形	ɦiŋ˩	ɦeŋ
宇	jy˥˧	ɦwiő
內	nui˨˦	nwoiʱ
復	fʱəw˨˦	biuʱ
幾	ki˥˧	kiɨ̋i
時。	ʃʱɨ˩	dʑɨ
曷	ɦɔʔ(t)	ɦɑt
不	puʔ(t)	piu
委	ʔui˥˧	ʔwie̋
心	sim	sim
任	ʒim˩	nʑim
去	kʰy˨˦	kʰiɤʱ
留。	liəw˩	liu
胡	ɦu˩	ɦo
爲	ui˩	ɦwie
乎	ɦu˩	ɦo
遑	ɦwɑŋ˩	ɦwɑŋ
遑	ɦwɑŋ˩	ɦwɑŋ
欲	jyuʔ(k)˩	jiowk
何	ɦɔ˩	ɦɑ
之。	tʃɨ	tɕɨ
富	fəw˨˦	piuʱ
貴	kui˨˦	kiuiʱ
非	fi	piui
吾	ŋu˩	ŋo
願。	(ŋ)jyuɛn˨˦	ŋwiɐnʱ
帝	tiɪi˨˦	teʱ
鄉	hiɑŋ	hiɑŋ
不	puʔ(t)	piu
可	kʰɔ˥˧	kʰɑ̋
期。	kʱi˩	ɡɨ
懷	ɦwai˩	ɦɣwɛi
良	liɑŋ˩	liɑŋ
辰	ʃʱin˩	dʑin
以	ji˥˧	jɨ̋
孤	ku	ko
往。	wɑŋ˥˧	ɦwiɑ̋ŋ
或	ɦwəʔ(k)˩	ɦwək
植	dʒi˨˦	ɖɨʱ
杖	dʒiɑŋ˨˦	ɖiɑ̋ŋ
而	ɻ˩	nʑɨ
耘	jyun˩	ɦiun
耔。	tsɨ	tsɨ
登	təŋ	təŋ
東	tuŋ	tuŋ
皋	kaw	kɑw
以	ji˥˧	jɨ̋
舒	ʃy	ɕiɤ
嘯。	siɛw˨˦	sewʱ
臨	lim˩	lim
清	tsʰiŋ	tsʰieŋ
流	liəw˩	liu
而	ɻ˩	nʑɨ
賦	fu˨˦	pwioʱ
詩。	ʃɨ	ɕɨ
聊	liɛw˩	lew
乘	tʃʱiŋ˩	ʑɨŋ
化	hwa˨˦	hɣwaʱ
以	ji˥˧	jɨ̋
歸	kui	kiui
盡。	dzin˨˦	dzi̋n
樂	lɒʔ(k)˩	lɑk
夫	fʱu˩	bwio
天	tʰiɛn	tʰen
命	miŋ˨˦	miaŋʱ
復	fʱəw˨˦	biuʱ
奚	ɦiɪi˩	ɦe
疑。	(ŋ)ji˩	ŋɨ
